Aggregation,Mean,Median,SD,Min,Max
Mean PCSI,0.4368441485406198,0.4273193470060483,0.06620867097861653,0.2641640066488095,0.729717488131579
Median PCSI,0.47137085619441194,0.4934614335,0.0708032373070985,0.035669535,0.950891278
5% trimmed mean,0.4311342944462187,0.42041669017261907,0.07149344291787467,0.23966782577960521,0.729717488131579
Length-weighted mean,0.43285892616169713,0.41999284786339997,0.07811961691211937,0.16991157290572687,0.7572832211654358
