start,N,pooled_slope,pooled_se,pooled_p,institutionFE_slope,institutionFE_se,institutionFE_p
1980,467,-0.0011514796828395934,0.00031374597101591745,0.00024245380159110835,-0.001173931711949849,0.00039396169313564693,0.002884255038482322
1990,443,-0.0012084728121210667,0.00037997026983821285,0.0014705136427319392,-0.0012831305245311867,0.0005317032890154727,0.015811169355940742
2000,367,-0.0010915427452079397,0.000576570405163434,0.05833596854946381,-0.0014988685003824351,0.0009252754203642534,0.10525031248231317
