measure,private_R1_mean,public_R1_mean,privateR1_minus_publicR1,type_kw_p,landgrant_mean,nonland_mean,landgrant_minus_nonland,landgrant_rank_p,medical_minus_no_med,medical_rank_p
pcsi,0.4559759079459223,0.4266930657117632,0.029282842234159112,0.00356765972755618,0.4196576988754061,0.4416104140803853,-0.021952715204979212,0.009738784131233249,0.015967326448689645,0.1723118554568822
median_alt,0.48665124703416,0.4684480286163868,0.018203218417773226,0.0005041639706512164,0.45970597543041175,0.4792122448989813,-0.019506269468569537,0.00855011985780804,0.015249167458711854,0.3576693925637199
trim_alt,0.4519695098301306,0.4197747060341047,0.032194803796025906,0.0031625091054770594,0.41223109450763873,0.43610161929781865,-0.023870524790179926,0.009290494275207815,0.017007652204175272,0.1796365638414703
weighted_alt,0.4526761732880436,0.42057949180200127,0.03209668148604233,0.006680938070843928,0.414089123600225,0.43794141400112135,-0.02385229040089637,0.006088364916962074,0.015191910312371715,0.3697845196648992
