Alternative,Pearson_with_mean,Spearman_with_mean,Mean_alternative,Mean_difference_vs_mean,Below_0.50_agreement
Median PCSI,0.6228348263028001,0.8782228257802127,0.47137085619441194,0.03452670765379212,0.9373392564881926
5% trimmed mean,0.9994535214166507,0.9996780609048272,0.4311342944462187,-0.005709854094401121,1.0
Length-weighted mean,0.9296866013397289,0.9055450105084245,0.43285892616169713,-0.003985222378922717,0.9331306990881459
