,Mean PCSI,Median PCSI,5% trimmed mean,Length-weighted mean
Mean PCSI,1.0,0.8782228257802127,0.9996780609048275,0.9055450105084246
Median PCSI,0.8782228257802127,1.0,0.8791816852173526,0.8327294795889272
5% trimmed mean,0.9996780609048275,0.8791816852173526,1.0,0.9054640971056489
Length-weighted mean,0.9055450105084246,0.8327294795889272,0.9054640971056489,1.0
