specification,between_share,within_share
baseline_panel,0.610084038461799,0.38991596153820113
median_panel,0.4336984921354874,0.5663015078645126
trimmed_panel,0.6164852291243098,0.3835147708756902
weighted_panel,0.5885566432574638,0.4114433567425363
baseline_observed,0.48689513511135557,0.5131048648886444
median_observed,0.3001571082322252,0.6998428917677748
trimmed_observed,0.49394376331235984,0.5060562366876401
weighted_observed,0.4630387544166452,0.5369612455833547
