measure,institutions,mean_2000,mean_2025,change,fe_slope,se,p
Mean_Tone_Score,93,0.44737226077822745,0.42165924352572154,-0.02571301725250591,-0.0011225867393860494,0.00042028600600898446,0.0075624136560486655
median_pcsi,93,0.47703246316666675,0.4632848415779571,-0.01374762158870968,-0.0005673059602499824,0.0004699463268254537,0.22736598251541584
trim_pcsi,93,0.4428660396284221,0.4144500170902046,-0.028416022538217456,-0.001229969320627742,0.00045207535918239734,0.006514041230572606
weighted_pcsi,93,0.44774223594704793,0.4136140284583009,-0.03412820748874701,-0.0014665721852227145,0.000490939983226757,0.002814774396493147
