decade,N,mean_pcsi,median_pcsi
1940,4,0.31041307991809935,0.2766618574308894
1960,3,0.4373713541051966,0.4346613719671052
1970,6,0.5086653425716702,0.5666611249293478
1980,24,0.45339345291224364,0.46176431051510985
1990,76,0.4483925332369128,0.44999168502232145
2000,105,0.4379906525408419,0.4318420682371794
2010,172,0.41758339026789876,0.41851211998789284
2020,90,0.41800730340994974,0.41393229170589296
