,mean_pcsi,median_pcsi,trim_pcsi,weighted_pcsi
mean_pcsi,1.0,0.6444110207599862,0.9994489730945906,0.9313561932994036
median_pcsi,0.6444110207599862,1.0,0.6383772639632347,0.611054475446974
trim_pcsi,0.9994489730945906,0.6383772639632347,1.0,0.9305713826800588
weighted_pcsi,0.9313561932994036,0.611054475446974,0.9305713826800588,1.0
