max_policy_age,N,mean,median,share_below_050
5,70,0.42155050293274665,0.41393229170589296,0.9142857142857143
10,104,0.41753939253062955,0.40923906374389685,0.9230769230769231
15,121,0.4201530008697991,0.4127294278652174,0.9256198347107438
all,150,0.42094480550359814,0.4143578451031882,0.92
