,Mean PCSI,Median PCSI,5% trimmed mean,Length-weighted mean
Mean PCSI,1.0,0.6228348263027984,0.9994535214166483,0.9296866013397324
Median PCSI,0.6228348263027984,1.0,0.6117443428871149,0.5793388307031996
5% trimmed mean,0.9994535214166483,0.6117443428871149,1.0,0.9285121112884904
Length-weighted mean,0.9296866013397324,0.5793388307031996,0.9285121112884904,1.0
