cohort_start,institutions,mean_start,mean_2025,change,fe_linear_slope,se,p
1990,34,0.46060868118254855,0.42149555276805667,-0.03911312841449188,-0.0010905541846064257,0.00046330357487052085,0.018579344875874163
1995,53,0.4538412674513628,0.42169700713203817,-0.0321442603193246,-0.0013145169899145502,0.0004299917462260572,0.00223508392476234
2000,93,0.44737226077822745,0.42165924352572154,-0.02571301725250591,-0.0011225867393860494,0.00042028600600898446,0.0075624136560486655
2005,114,0.43939364615461324,0.4201573163170406,-0.01923632983757262,-0.0010349646468433148,0.0004092546495872432,0.011442017369531852
