,mean_pcsi,median_pcsi,trim_pcsi,weighted_pcsi
mean_pcsi,1.0,0.8683241803089599,0.9995860439182989,0.9129175293690447
median_pcsi,0.8683241803089599,1.0,0.8691099382709312,0.829196873494481
trim_pcsi,0.9995860439182989,0.8691099382709312,1.0,0.9134815513120808
weighted_pcsi,0.9129175293690447,0.829196873494481,0.9134815513120808,1.0
