Variable,Model 1,SE 1,Model 2,SE 2,Model 3,SE 3
Tone Index,0.058***,(0.004),0.059***,(0.004),0.058***,(0.004)
Clarity Index,,,-0.005**,(0.002),0.000,(0.002)
Legal Load Index,,,,,0.014***,(0.001)
R^2,0.156,,0.158,,0.178,
Observations,4296,,4296,,4296,
