Statistic,Value
Mean,0.444
Median,0.481
Standard Deviation,0.063
Minimum,0.303
Maximum,0.719
Neutral Midpoint,0.5
% below midpoint (< 0.50),82.8%
% above midpoint (≥ 0.50),17.2%
Theoretical Range,"[0, 1]"
Number of Policies (inst-year),2627
Number of Institutions,141
