rank,ncses_name,total_rd_2008,federal_rd_2008,state_local_rd_2008,industry_rd_2008,institution_rd_2008,other_rd_2008
107,U. Louisville,148936,72711,12300,2390,41541,19994
108,VA Commonwealth U.,148655,95369,14534,9440,24380,4932
109,Auburn U. all campuses,146984,54748,2719,3841,81243,4433
110,UT State U.,146128,88884,26933,4089,20019,6203
111,Georgetown U.,142623,111590,1331,1736,11694,16272
112,WV U.,139770,68147,4649,4782,60591,1601
113,Tufts U.,139528,95620,926,11058,11387,20537
114,NM State U. main campus,138427,86636,17186,1995,30707,1903
115,KS State U.,137543,52984,41367,3922,31338,7932
116,"U. CA, Santa Cruz",135261,69742,6866,4279,36229,18145
117,"U. CA, Riverside",129605,53780,6577,5829,51147,12272
118,U. DE,125179,84628,7318,5058,23003,5172
119,OK State U. all campuses,121226,41051,31776,4372,43072,955
120,MT State U. Bozeman,120155,70386,24619,6459,18691,0
121,U. AR for Medical Sciences,117440,62035,8292,4020,27075,16018
122,ND State U. all campuses,115513,50038,34783,1037,25976,3679
123,U. VT,115421,89717,267,2330,18753,4354
124,U. NH,113877,83769,1509,6074,16422,6103
125,U. Central FL,108067,55771,5664,16037,30595,0
126,Uniformed Services U. of the Health Sciences,106179,67345,0,0,34106,4728
127,U. AR main campus,102784,31531,46292,7566,15399,1996
128,U. AK Fairbanks all campuses,102761,90280,1353,0,0,11128
129,"U. NV, Reno",102073,66165,5918,1747,27525,718
130,Drexel U.,100911,65198,5870,2138,20044,7661
131,U. CA Office of the President,100034,101,40551,298,49195,9889
132,Thomas Jefferson U.,99275,76034,6440,7986,4267,4548
133,U. of Notre Dame,97171,66812,930,10971,18458,0
134,FL International U.,95706,52838,6432,5497,30939,0
135,U. ME,95042,40931,10140,3228,39512,1231
136,Temple U.,92486,58686,5121,5595,17672,5412
137,U. MS all campuses,90095,65799,201,1223,16434,6438
138,NJ Institute of Technology,89792,40087,4918,4078,30871,9838
139,Rush U.,89513,40942,22,10997,34544,3008
140,U. Houston,84490,43162,9160,4136,23288,4744
141,Naval Postgraduate School,83314,82302,542,415,0,55
142,U. ID,81532,45301,21394,908,11948,1981
143,U. Dayton,81275,64515,9049,4968,2093,650
144,TX A&M U. System Health Science Ctr.,79687,33044,1415,3431,32328,9469
145,NM Institute of Mining and Technology,79437,64322,3665,5990,5197,263
146,GA State U.,77709,26257,22584,677,24721,3470
147,U. RI,77457,50377,7728,5568,13784,0
148,Rensselaer Polytechnic Institute,77295,47109,10078,4337,13134,2637
149,U. WY,74720,28372,5993,1951,37071,1333
150,Rice U.,74254,54959,465,2470,9026,7334
