Sub-Index,Mean,SD,Min,Max,N
Tone Index,0.0,0.551,-1.698,6.679,480
Clarity Index,0.0,0.602,-2.623,1.838,480
Legal Load Index,0.0,0.697,-1.425,3.243,480
