Institution,STATE,Type,Med,LG,Mean_PCI,Latest_PCI,Latest_Year,N,Tone,Clarity,Legal
University of Oregon,OR,Public R1,N,N,0.4784900776785714,0.4784900776785714,2015,1,-0.2817859399581528,-0.6014838538651753,-0.0360239444169201
Stanford University,CA,Private R1,Y,N,0.47867607370809173,0.48302980859887,2023,8,0.16176831674278216,1.775641868933075,0.3470455368261881
Vanderbilt University,TN,Private R1,Y,N,0.4838317436127717,0.4881386076059782,2016,2,-0.04032606014360815,-0.0231607843139773,-0.5419571965540897
Brown University,RI,Private R1,Y,N,0.490812891134262,0.4581476668402061,2021,3,-0.08445716973500383,-0.21940383914498426,-0.2533974916283121
Georgetown University,DC,Private R1,Y,N,0.4928490487537841,0.4866857057772727,2019,2,0.37175583485608044,0.10866204855674955,0.5322945469667439
Princeton University,NJ,Private R1,N,N,0.49560389821963646,0.5125321644791666,2017,2,-0.02211075427673906,-0.27414517621294004,0.2074598213118134
University of Wisconsin-Madison,WI,Public R1,Y,Y,0.49695851279027775,0.3716405445803571,2022,3,0.5610483876070834,0.175377890645249,0.054660773027185056
University of Virginia,VA,Public R1,Y,N,0.4974993169698775,0.5161874645833333,2021,4,0.3339990230395783,-0.239011941124531,-0.25013672891505906
Johns Hopkins University,MD,Private R1,Y,N,0.49811718681522704,0.4923713638576643,2011,3,-0.1565570348810483,0.5364152270514858,-0.08136252361302013
Harvard University,MA,Private R1,Y,N,0.5000032231137399,0.4592574536902173,2010,3,0.11135997692575224,-0.23838571163290237,-0.4491499413455502
University of Rochester,NY,Private R1,Y,N,0.5061727563354148,0.4922559502894736,2013,2,0.3463031515497361,0.16162366436630304,-0.2817718642127913
University of South Carolina,SC,Public R1,Y,N,0.5105397655168877,0.5211219482285714,2025,4,0.37250749647845216,0.12270022483885287,-0.40400912501187514
University of Chicago,IL,Private R1,Y,N,0.512910828479021,0.5692435987500001,2018,2,-0.33030147074965843,-0.28654733233245566,-0.04186552487194875
Oregon Health Sciences University,OR,Public R2,Y,N,0.5132806650214974,0.4906509252,2024,2,3.7536301412819584,1.0924431925665659,-0.7167409949217822
Michigan Technological University,MI,Public R1,N,N,0.5138600272658731,0.5191963649761905,2011,2,0.5282452352099007,-0.8896391243644766,0.6795333786912798
Portland State University,OR,Public R2,Y,N,0.5163923546531776,0.489207870369186,2025,3,0.9481727854083561,0.7920381707491321,-0.3732209774369633
Case Western Reserve University,OH,Private R1,Y,N,0.5219447761037037,0.5219447761037037,2003,1,0.0069757468016832,-0.4116353844197739,-0.7041292123294051
University of Montana,MT,Public R1,Y,N,0.5257007816759258,0.523806405699074,2007,2,0.5467990607812325,0.2807993499575133,0.7021198226045252
Columbia University,NY,Private R1,Y,N,0.5344964496073943,0.5344964496073943,1989,1,0.2388053340360865,0.4986253305038473,-0.0932753776286637
Duke University,NC,Private R1,Y,N,0.540958702214644,0.5702842367206896,2022,4,-0.008156903985940775,0.3406287646954005,0.9945975270910481
University of Delaware,DE,Public R1,Y,Y,0.5410097238701593,0.5472924761348684,2021,3,-0.12915295142195504,-0.2078004708891086,-0.2020011034120119
University of Central Florida,FL,Public R1,Y,N,0.5827699142930195,0.5924574472678571,2024,2,2.38477510633212,0.6486760725246405,0.5785618425651164
