PCI Quintile,Mean_PCI,Tone_Index,Clarity_Index,Legal_Load_Index,N
Q1 (lowest),0.345,-0.207,-0.203,-0.092,96
Q2,0.396,-0.146,-0.008,-0.059,96
Q3,0.423,0.03,0.027,-0.058,96
Q4,0.457,-0.027,0.112,0.047,96
Q5 (highest),0.52,0.351,0.072,0.161,96
